종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202006 342.5,"0.01",0.00,"0.00","0.00","0.00","0","666",0
코스피200 C 202006 345.0,"0.01",0.00,"0.00","0.00","0.00","0","1,915",0
코스피200 C 202006 347.5,"0.01",0.00,"0.00","0.00","0.00","0","817",0
코스피200 C 202006 350.0,"0.01",0.00,"0.00","0.00","0.00","0","2,071",0
코스피200 C 202006 352.5,"0.01",0.00,"0.00","0.00","0.00","0","370",0
코스피200 C 202006 355.0,"0.01",0.00,"0.00","0.00","0.00","0","412",0
코스피200 C 202006 357.5,"0.01",0.00,"0.00","0.00","0.00","0","218",0
코스피200 C 202006 360.0,"0.01",0.00,"0.00","0.00","0.00","0","962",0
코스피200 C 202006 362.5,"0.01",0.00,"0.00","0.00","0.00","0","552",0
코스피200 C 202006 365.0,"0.01",0.00,"0.00","0.00","0.00","0","1,035",0
코스피200 C 202006 367.5,"0.01",0.00,"0.00","0.00","0.00","0","498",0
코스피200 C 202006 370.0,"0.01",0.00,"0.00","0.00","0.00","0","7,023",0
코스피200 C 202007 160.0,"107.60",0.00,"0.00","0.00","0.00","0","5",0
코스피200 C 202007 162.5,"105.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 165.0,"102.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 167.5,"100.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 170.0,"97.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 172.5,"95.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 175.0,"92.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 177.5,"90.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 180.0,"87.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 182.5,"85.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 185.0,"82.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 187.5,"80.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 190.0,"77.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 192.5,"75.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 195.0,"72.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 197.5,"70.15",0.00,"0.00","0.00","0.00","0","0",0
