종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202010 220.0,"48.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 222.5,"46.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 225.0,"43.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 227.5,"41.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 230.0,"39.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 232.5,"37.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 235.0,"35.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 237.5,"33.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 240.0,"30.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 242.5,"28.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 245.0,"26.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 247.5,"25.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 250.0,"23.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 252.5,"21.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 255.0,"19.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 257.5,"18.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 260.0,"16.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 262.5,"15.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 265.0,"13.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 267.5,"12.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 270.0,"11.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 272.5,"9.88",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 275.0,"8.86",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 277.5,"7.83",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 280.0,"6.83",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 282.5,"6.08",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 285.0,"5.31",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202010 287.5,"4.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 290.0,"3.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 292.5,"3.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 295.0,"2.90",0.00,"0.00","0.00","0.00","0","11",0
코스피200 C 202010 297.5,"2.34",0.00,"0.00","0.00","0.00","0","5",0
코스피200 C 202010 300.0,"2.14",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 302.5,"1.76",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202010 305.0,"1.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 307.5,"1.38",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 212.5,"55.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 215.0,"53.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 217.5,"50.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 220.0,"48.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 222.5,"45.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 225.0,"43.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 227.5,"41.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 230.0,"39.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 232.5,"37.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 235.0,"34.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 237.5,"32.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 240.0,"30.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 242.5,"28.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 245.0,"26.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 247.5,"25.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 250.0,"23.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 252.5,"21.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 255.0,"19.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 257.5,"18.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 260.0,"16.95",0.00,"0.00","0.00","0.00","0","1,100",0
코스피200 C 202011 262.5,"15.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 265.0,"14.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 267.5,"13.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 270.0,"11.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 272.5,"10.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 275.0,"9.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 277.5,"8.86",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 280.0,"7.93",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 282.5,"7.14",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 285.0,"6.46",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 287.5,"5.78",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 290.0,"5.09",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 292.5,"4.56",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202011 295.0,"4.09",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202011 297.5,"3.62",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 300.0,"3.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 302.5,"2.78",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202011 305.0,"2.48",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202011 307.5,"2.12",0.00,"0.00","0.00","0.00","0","5",0
코스피200 C 202012 140.0,"127.40",0.00,"0.00","0.00","0.00","0","34",0
코스피200 C 202012 145.0,"122.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 150.0,"117.45",0.00,"0.00","0.00","0.00","0","5,500",0
코스피200 C 202012 155.0,"112.50",0.00,"0.00","0.00","0.00","0","41",0
코스피200 C 202012 160.0,"107.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 165.0,"102.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 170.0,"97.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 175.0,"92.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 180.0,"87.60",0.00,"0.00","0.00","0.00","0","42",0
코스피200 C 202012 185.0,"82.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 190.0,"77.75",0.00,"0.00","0.00","0.00","0","290",0
코스피200 C 202012 195.0,"72.80",0.00,"0.00","0.00","0.00","0","9",0
코스피200 C 202012 200.0,"67.95",0.00,"0.00","0.00","0.00","0","462",0
코스피200 C 202012 205.0,"63.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202012 210.0,"58.40",0.00,"0.00","0.00","0.00","0","2,902",0
코스피200 C 202012 215.0,"53.80",0.00,"0.00","0.00","0.00","0","401",0
코스피200 C 202012 220.0,"49.20",0.00,"0.00","0.00","0.00","0","33",0
코스피200 C 202012 225.0,"44.90",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202012 230.0,"40.60",0.00,"0.00","0.00","0.00","0","2,704",0
코스피200 C 202012 235.0,"36.60",0.00,"0.00","0.00","0.00","0","601",0
코스피200 C 202012 240.0,"32.65",0.00,"0.00","0.00","0.00","0","4,248",0
코스피200 C 202012 245.0,"29.15",0.00,"0.00","0.00","0.00","0","2,401",0
코스피200 C 202012 250.0,"25.70",0.00,"0.00","0.00","0.00","0","9,218",0
코스피200 C 202012 255.0,"22.65",0.00,"0.00","0.00","0.00","0","1,333",0
코스피200 C 202012 260.0,"19.70",0.00,"0.00","0.00","0.00","0","8,435",0
코스피200 C 202012 265.0,"17.00",0.25,"17.00","17.00","16.25","3","1,222",2
코스피200 C 202012 270.0,"14.00",2.00,"15.00","15.00","14.00","2","10,112",2
코스피200 C 202012 275.0,"12.30",0.00,"0.00","0.00","0.00","0","1,109",0
코스피200 C 202012 280.0,"10.20",0.00,"0.00","0.00","0.00","0","9,586",0
코스피200 C 202012 285.0,"8.23",0.00,"0.00","0.00","0.00","0","2,134",0
코스피200 C 202012 290.0,"6.64",0.00,"0.00","0.00","0.00","0","6,263",0
코스피200 C 202012 295.0,"5.16",0.00,"0.00","0.00","0.00","0","219",0
코스피200 C 202012 300.0,"4.04",0.11,"3.72","4.04","3.70","7","11,830",1
코스피200 C 202012 305.0,"3.08",0.00,"0.00","0.00","0.00","0","2,340",0
코스피200 C 202012 310.0,"2.25",0.04,"2.25","2.25","2.25","1","13,184",2
코스피200 C 202012 315.0,"1.94",0.12,"1.94","1.94","1.94","1","849",1
코스피200 C 202012 320.0,"1.52",0.00,"1.52","1.52","1.52","10","10,192",3
코스피200 C 202012 325.0,"1.16",0.00,"1.16","1.16","1.16","10","978",3
코스피200 C 202012 330.0,"0.79",0.00,"0.00","0.00","0.00","0","9,773",0
코스피200 C 202012 335.0,"0.72",0.02,"0.68","0.72","0.65","5","251",1
코스피200 C 202012 340.0,"0.49",0.00,"0.00","0.00","0.00","0","4,166",0
코스피200 C 202012 345.0,"0.44",0.07,"0.43","0.44","0.43","3","946",1
코스피200 C 202012 350.0,"0.34",0.01,"0.31","0.34","0.31","21","14,871",2
코스피200 C 202012 355.0,"0.26",0.01,"0.26","0.26","0.26","1","587",2
코스피200 C 202012 360.0,"0.22",0.01,"0.22","0.22","0.22","10","3,301",1
코스피200 C 202012 365.0,"0.17",0.00,"0.00","0.00","0.00","0","693",0
코스피200 C 202012 370.0,"0.16",0.00,"0.16","0.16","0.16","5","2,215",3
코스피200 C 202012 375.0,"0.13",0.00,"0.00","0.00","0.00","0","378",0
코스피200 C 202012 380.0,"0.11",0.00,"0.00","0.00","0.00","0","864",0
코스피200 C 202012 385.0,"0.09",0.00,"0.00","0.00","0.00","0","56",0
코스피200 C 202012 390.0,"0.08",0.00,"0.00","0.00","0.00","0","4,203",0
코스피200 C 202012 395.0,"0.08",0.00,"0.00","0.00","0.00","0","110",0
코스피200 C 202012 400.0,"0.08",0.01,"0.07","0.09","0.07","74","12,281",1
코스피200 C 202103 140.0,"123.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 145.0,"118.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 150.0,"113.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 155.0,"108.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 160.0,"103.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 165.0,"98.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 170.0,"93.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 175.0,"88.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 180.0,"84.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 185.0,"79.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 190.0,"74.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 195.0,"69.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 200.0,"64.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 205.0,"59.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 210.0,"55.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 215.0,"50.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 220.0,"46.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 225.0,"41.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 230.0,"37.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 235.0,"34.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 240.0,"30.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 245.0,"26.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 250.0,"23.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 255.0,"20.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 260.0,"18.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 265.0,"15.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 270.0,"13.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 275.0,"11.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 280.0,"9.82",0.00,"0.00","0.00","0.00","0","13",0
코스피200 C 202103 285.0,"8.41",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 290.0,"7.06",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 295.0,"5.87",0.00,"0.00","0.00","0.00","0","1,801",0
코스피200 C 202103 300.0,"4.94",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202103 305.0,"4.02",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202103 310.0,"3.35",0.00,"0.00","0.00","0.00","0","109",0
코스피200 C 202103 315.0,"2.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202103 320.0,"2.17",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202103 325.0,"2.02",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202103 330.0,"1.48",0.02,"1.48","1.48","1.48","10","10",1
코스피200 C 202106 140.0,"123.40",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202106 150.0,"113.45",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202106 160.0,"103.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 170.0,"93.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 180.0,"83.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 190.0,"74.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 200.0,"64.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 210.0,"55.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 220.0,"47.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202106 230.0,"39.35",0.00,"0.00","0.00","0.00","0","3,800",0
코스피200 C 202106 240.0,"32.25",0.00,"0.00","0.00","0.00","0","1,300",0
코스피200 C 202106 250.0,"26.00",0.00,"0.00","0.00","0.00","0","6,583",0
코스피200 C 202106 260.0,"20.60",0.00,"0.00","0.00","0.00","0","6,301",0
코스피200 C 202106 270.0,"15.90",0.00,"0.00","0.00","0.00","0","2,849",0
코스피200 C 202106 280.0,"12.20",0.00,"0.00","0.00","0.00","0","2,700",0
코스피200 C 202106 290.0,"9.26",0.00,"0.00","0.00","0.00","0","2,439",0
코스피200 C 202106 300.0,"6.80",0.00,"0.00","0.00","0.00","0","4,394",0
코스피200 C 202106 310.0,"4.97",0.00,"0.00","0.00","0.00","0","5,759",0
코스피200 C 202106 320.0,"3.62",0.00,"0.00","0.00","0.00","0","637",0
코스피200 C 202106 330.0,"2.62",0.00,"0.00","0.00","0.00","0","2,103",0
코스피200 C 202106 340.0,"1.85",0.00,"0.00","0.00","0.00","0","1,856",0
코스피200 C 202106 350.0,"1.29",0.00,"0.00","0.00","0.00","0","1,885",0
코스피200 C 202106 360.0,"0.86",0.08,"0.86","0.86","0.86","10","52",2
코스피200 C 202106 370.0,"0.65",0.08,"0.63","0.65","0.63","2","171",1
코스피200 C 202112 140.0,"122.45",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202112 150.0,"112.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202112 160.0,"102.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202112 170.0,"93.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202112 180.0,"83.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202112 190.0,"74.25",0.00,"0.00","0.00","0.00","0","1,261",0
코스피200 C 202112 200.0,"65.20",0.00,"0.00","0.00","0.00","0","1,128",0
코스피200 C 202112 210.0,"56.70",0.00,"0.00","0.00","0.00","0","610",0
코스피200 C 202112 220.0,"48.75",0.00,"0.00","0.00","0.00","0","1,807",0
코스피200 C 202112 230.0,"41.45",0.00,"0.00","0.00","0.00","0","3,404",0
코스피200 C 202112 240.0,"34.70",0.00,"0.00","0.00","0.00","0","10,405",0
코스피200 C 202112 250.0,"33.00",4.20,"33.00","33.00","33.00","1","6,492",1
코스피200 C 202112 260.0,"23.70",0.00,"0.00","0.00","0.00","0","4,853",0
코스피200 C 202112 270.0,"19.10",0.00,"0.00","0.00","0.00","0","4,608",0
코스피200 C 202112 280.0,"15.45",0.00,"0.00","0.00","0.00","0","2,198",0
코스피200 C 202112 290.0,"12.25",0.00,"0.00","0.00","0.00","0","1,842",0
코스피200 C 202112 300.0,"10.70",0.00,"0.00","0.00","0.00","0","4,789",0
코스피200 C 202112 310.0,"8.10",0.20,"8.10","8.10","8.10","2","10,016",2
코스피200 C 202112 320.0,"6.33",0.10,"5.93","6.35","5.93","6","6,296",1
코스피200 C 202112 330.0,"4.66",0.00,"0.00","0.00","0.00","0","1,637",0
코스피200 C 202112 340.0,"3.34",0.00,"0.00","0.00","0.00","0","2,720",0
코스피200 C 202112 350.0,"2.78",0.00,"0.00","0.00","0.00","0","1,960",0
코스피200 C 202112 360.0,"2.17",0.00,"0.00","0.00","0.00","0","636",0
코스피200 C 202112 370.0,"1.60",0.13,"1.57","1.60","1.57","2","1,574",1
코스피200 C 202212 140.0,"117.75",0.00,"0.00","0.00","0.00","0","16",0
코스피200 C 202212 150.0,"108.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202212 160.0,"98.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202212 170.0,"89.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202212 180.0,"80.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202212 190.0,"72.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202212 200.0,"64.40",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202212 210.0,"56.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202212 220.0,"49.95",0.00,"0.00","0.00","0.00","0","208",0
코스피200 C 202212 230.0,"43.55",0.00,"0.00","0.00","0.00","0","6",0
코스피200 C 202212 240.0,"37.80",0.00,"0.00","0.00","0.00","0","975",0
코스피200 C 202212 250.0,"32.60",0.00,"0.00","0.00","0.00","0","1,306",0
코스피200 C 202212 260.0,"27.95",0.00,"0.00","0.00","0.00","0","1,505",0
코스피200 C 202212 270.0,"23.85",0.00,"0.00","0.00","0.00","0","13",0
코스피200 C 202212 280.0,"20.30",0.00,"0.00","0.00","0.00","0","1,057",0
코스피200 C 202212 290.0,"17.05",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202212 300.0,"14.50",0.00,"0.00","0.00","0.00","0","7",0
코스피200 C 202212 310.0,"11.90",0.00,"0.00","0.00","0.00","0","4",0
코스피200 C 202212 320.0,"10.15",0.00,"0.00","0.00","0.00","0","14",0
코스피200 C 202212 330.0,"8.39",0.00,"0.00","0.00","0.00","0","4",0
코스피200 C 202212 340.0,"6.93",0.00,"0.00","0.00","0.00","0","101",0
코스피200 C 202212 350.0,"5.82",0.00,"0.00","0.00","0.00","0","32",0
코스피200 C 202212 360.0,"4.80",0.17,"4.80","4.80","4.80","1","80",1
코스피200 C 202212 370.0,"4.01",0.23,"3.81","4.01","3.81","2","377",2
