종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202010 222.5,"4.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 225.0,"4.47",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 227.5,"4.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 230.0,"5.12",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 232.5,"5.49",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 235.0,"6.02",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 237.5,"6.54",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 240.0,"7.06",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 242.5,"7.57",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 245.0,"8.11",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 247.5,"8.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 250.0,"9.59",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 252.5,"10.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 255.0,"11.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 257.5,"12.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 260.0,"13.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 262.5,"14.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 265.0,"15.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 267.5,"16.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 270.0,"18.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 272.5,"19.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 275.0,"21.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 277.5,"23.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 280.0,"24.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 282.5,"26.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 285.0,"28.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 287.5,"30.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 290.0,"32.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 292.5,"34.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 295.0,"36.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 297.5,"38.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 300.0,"40.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 302.5,"42.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 212.5,"3.86",0.00,"0.00","0.00","0.00","0","3",0
코스피200 P 202011 215.0,"4.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 217.5,"4.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 220.0,"5.14",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 222.5,"5.47",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 225.0,"5.79",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 227.5,"6.12",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 230.0,"6.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 232.5,"7.11",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 235.0,"7.62",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 237.5,"8.13",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 240.0,"8.63",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 242.5,"9.13",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 245.0,"9.86",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 247.5,"10.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 250.0,"11.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 252.5,"12.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 255.0,"12.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 257.5,"13.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 260.0,"14.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 262.5,"15.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 265.0,"16.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 267.5,"18.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 270.0,"19.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 272.5,"21.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 275.0,"22.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 277.5,"24.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 280.0,"26.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 282.5,"28.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 285.0,"29.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 287.5,"31.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 290.0,"33.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 292.5,"35.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 295.0,"37.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 297.5,"39.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 300.0,"41.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202011 302.5,"43.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 140.0,"0.57",0.04,"0.57","0.61","0.56","114","1,990",2
코스피200 P 202012 145.0,"0.70",0.00,"0.00","0.00","0.00","0","149",0
코스피200 P 202012 150.0,"0.75",0.05,"0.75","0.75","0.75","3","5,583",2
코스피200 P 202012 155.0,"0.86",0.07,"0.88","0.88","0.86","4","49",2
코스피200 P 202012 160.0,"0.98",0.08,"0.98","0.98","0.98","1","50",2
코스피200 P 202012 165.0,"1.12",0.09,"1.12","1.12","1.12","2","55",2
코스피200 P 202012 170.0,"1.28",0.04,"1.28","1.28","1.28","2","2,419",2
코스피200 P 202012 175.0,"1.46",0.11,"1.50","1.51","1.46","8","257",2
코스피200 P 202012 180.0,"1.67",0.12,"1.67","1.69","1.66","11","6,483",2
코스피200 P 202012 185.0,"1.91",0.13,"1.91","1.91","1.91","1","2",2
코스피200 P 202012 190.0,"2.18",0.15,"2.18","2.18","2.18","2","7,358",2
코스피200 P 202012 195.0,"2.50",0.16,"2.49","2.50","2.49","2","806",2
코스피200 P 202012 200.0,"3.13",0.00,"0.00","0.00","0.00","0","19,711",0
코스피200 P 202012 205.0,"3.52",0.00,"0.00","0.00","0.00","0","720",0
코스피200 P 202012 210.0,"3.76",0.31,"3.79","3.89","3.72","19","13,936",2
코스피200 P 202012 215.0,"5.53",0.00,"0.00","0.00","0.00","0","455",0
코스피200 P 202012 220.0,"6.09",0.00,"0.00","0.00","0.00","0","13,951",0
코스피200 P 202012 225.0,"6.79",0.00,"0.00","0.00","0.00","0","4,457",0
코스피200 P 202012 230.0,"7.80",0.00,"0.00","0.00","0.00","0","28,844",0
코스피200 P 202012 235.0,"8.81",0.00,"0.00","0.00","0.00","0","737",0
코스피200 P 202012 240.0,"8.75",1.04,"8.53","8.75","8.50","3","18,509",2
코스피200 P 202012 245.0,"11.15",0.00,"0.00","0.00","0.00","0","5,668",0
코스피200 P 202012 250.0,"12.55",0.00,"0.00","0.00","0.00","0","14,682",0
코스피200 P 202012 255.0,"13.00",1.00,"13.00","13.00","13.00","1","819",2
코스피200 P 202012 260.0,"15.50",0.50,"15.50","15.50","15.50","1","15,541",2
코스피200 P 202012 265.0,"17.05",1.15,"17.05","17.05","17.05","1","328",2
코스피200 P 202012 270.0,"21.10",0.00,"0.00","0.00","0.00","0","10,080",0
코스피200 P 202012 275.0,"24.20",0.00,"0.00","0.00","0.00","0","1,312",0
코스피200 P 202012 280.0,"27.35",0.00,"0.00","0.00","0.00","0","11,116",0
코스피200 P 202012 285.0,"30.95",0.00,"0.00","0.00","0.00","0","3,008",0
코스피200 P 202012 290.0,"34.60",0.00,"0.00","0.00","0.00","0","6,397",0
코스피200 P 202012 295.0,"38.40",0.00,"0.00","0.00","0.00","0","41",0
코스피200 P 202012 300.0,"42.45",0.00,"0.00","0.00","0.00","0","11,753",0
코스피200 P 202012 305.0,"46.50",0.00,"0.00","0.00","0.00","0","19",0
코스피200 P 202012 310.0,"50.75",0.00,"0.00","0.00","0.00","0","11,077",0
코스피200 P 202012 315.0,"55.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 320.0,"59.50",0.00,"0.00","0.00","0.00","0","2,009",0
코스피200 P 202012 325.0,"64.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 330.0,"68.65",0.00,"0.00","0.00","0.00","0","75",0
코스피200 P 202012 335.0,"73.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 340.0,"78.00",0.00,"0.00","0.00","0.00","0","13",0
코스피200 P 202012 345.0,"82.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 350.0,"87.55",0.00,"0.00","0.00","0.00","0","5,028",0
코스피200 P 202012 355.0,"92.35",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202012 360.0,"97.20",0.00,"0.00","0.00","0.00","0","42",0
코스피200 P 202012 365.0,"102.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 370.0,"106.95",0.00,"0.00","0.00","0.00","0","14",0
코스피200 P 202012 375.0,"111.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 380.0,"116.80",0.00,"0.00","0.00","0.00","0","40",0
코스피200 P 202012 385.0,"121.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 390.0,"126.65",0.00,"0.00","0.00","0.00","0","35",0
코스피200 P 202012 395.0,"131.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202012 400.0,"136.55",0.00,"0.00","0.00","0.00","0","236",0
코스피200 P 202103 140.0,"1.01",0.00,"0.00","0.00","0.00","0","263",0
코스피200 P 202103 145.0,"1.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 150.0,"1.64",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 155.0,"2.14",0.00,"0.00","0.00","0.00","0","7",0
코스피200 P 202103 160.0,"2.63",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202103 165.0,"3.17",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 170.0,"3.97",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 175.0,"4.77",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 180.0,"5.56",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202103 185.0,"6.64",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202103 190.0,"7.83",0.00,"0.00","0.00","0.00","0","24",0
코스피200 P 202103 195.0,"9.02",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 200.0,"10.20",0.00,"0.00","0.00","0.00","0","400",0
코스피200 P 202103 205.0,"11.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 210.0,"13.50",0.00,"0.00","0.00","0.00","0","1,201",0
코스피200 P 202103 215.0,"15.20",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202103 220.0,"6.91",9.94,"6.91","6.91","6.91","1","1,827",2
코스피200 P 202103 225.0,"18.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 230.0,"21.10",0.00,"0.00","0.00","0.00","0","800",0
코스피200 P 202103 235.0,"23.35",0.00,"0.00","0.00","0.00","0","300",0
코스피200 P 202103 240.0,"25.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 245.0,"27.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 250.0,"30.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 255.0,"33.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 260.0,"36.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 265.0,"38.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 270.0,"41.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 275.0,"44.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 280.0,"48.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 285.0,"51.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 290.0,"54.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 295.0,"58.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 300.0,"61.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 305.0,"65.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 310.0,"69.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 315.0,"73.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 320.0,"76.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202103 325.0,"80.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202106 140.0,"1.08",0.00,"0.00","0.00","0.00","0","34",0
코스피200 P 202106 150.0,"1.82",0.00,"0.00","0.00","0.00","0","32",0
코스피200 P 202106 160.0,"2.76",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202106 170.0,"4.16",0.00,"0.00","0.00","0.00","0","915",0
코스피200 P 202106 180.0,"5.74",0.00,"0.00","0.00","0.00","0","2,602",0
코스피200 P 202106 190.0,"8.09",0.00,"0.00","0.00","0.00","0","3,158",0
코스피200 P 202106 200.0,"5.54",4.96,"5.54","5.54","5.54","1","335",2
코스피200 P 202106 210.0,"13.85",0.00,"0.00","0.00","0.00","0","5,136",0
코스피200 P 202106 220.0,"17.15",0.00,"0.00","0.00","0.00","0","4,236",0
코스피200 P 202106 230.0,"21.50",0.00,"0.00","0.00","0.00","0","7,311",0
코스피200 P 202106 240.0,"13.30",12.60,"13.30","13.30","13.30","1","4,190",2
코스피200 P 202106 250.0,"31.00",0.00,"0.00","0.00","0.00","0","7,620",0
코스피200 P 202106 260.0,"36.50",0.00,"0.00","0.00","0.00","0","1,507",0
코스피200 P 202106 270.0,"42.05",0.00,"0.00","0.00","0.00","0","3,904",0
코스피200 P 202106 280.0,"48.65",0.00,"0.00","0.00","0.00","0","1,603",0
코스피200 P 202106 290.0,"55.25",0.00,"0.00","0.00","0.00","0","1,201",0
코스피200 P 202106 300.0,"62.00",0.00,"0.00","0.00","0.00","0","1,500",0
코스피200 P 202106 310.0,"69.55",0.00,"0.00","0.00","0.00","0","2,000",0
코스피200 P 202106 320.0,"77.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202106 330.0,"84.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202106 340.0,"92.95",0.00,"0.00","0.00","0.00","0","500",0
코스피200 P 202106 350.0,"101.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202106 360.0,"109.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202106 370.0,"118.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202112 140.0,"2.03",1.66,"2.02","2.03","2.02","2","754",1
코스피200 P 202112 150.0,"0.70",0.00,"0.00","0.00","0.00","0","140",0
코스피200 P 202112 160.0,"3.22",2.01,"3.21","3.22","3.20","72","132",1
코스피200 P 202112 170.0,"3.99",1.90,"3.98","3.99","3.97","76","145",1
코스피200 P 202112 180.0,"3.29",0.00,"0.00","0.00","0.00","0","14",0
코스피200 P 202112 190.0,"4.75",0.00,"0.00","0.00","0.00","0","7,452",0
코스피200 P 202112 200.0,"6.95",0.00,"0.00","0.00","0.00","0","12,669",0
코스피200 P 202112 210.0,"9.55",0.00,"0.00","0.00","0.00","0","4,536",0
코스피200 P 202112 220.0,"12.60",0.00,"0.00","0.00","0.00","0","6,066",0
코스피200 P 202112 230.0,"16.25",0.00,"0.00","0.00","0.00","0","13,906",0
코스피200 P 202112 240.0,"20.40",0.00,"0.00","0.00","0.00","0","7,663",0
코스피200 P 202112 250.0,"25.20",0.00,"0.00","0.00","0.00","0","9,275",0
코스피200 P 202112 260.0,"30.50",0.00,"0.00","0.00","0.00","0","5,906",0
코스피200 P 202112 270.0,"36.20",0.00,"0.00","0.00","0.00","0","4,126",0
코스피200 P 202112 280.0,"42.60",0.00,"0.00","0.00","0.00","0","5,019",0
코스피200 P 202112 290.0,"49.00",0.00,"0.00","0.00","0.00","0","3,207",0
코스피200 P 202112 300.0,"56.35",0.00,"0.00","0.00","0.00","0","2,778",0
코스피200 P 202112 310.0,"63.70",0.00,"0.00","0.00","0.00","0","403",0
코스피200 P 202112 320.0,"71.45",0.00,"0.00","0.00","0.00","0","2,407",0
코스피200 P 202112 330.0,"79.60",0.00,"0.00","0.00","0.00","0","205",0
코스피200 P 202112 340.0,"87.75",0.00,"0.00","0.00","0.00","0","32",0
코스피200 P 202112 350.0,"96.35",0.00,"0.00","0.00","0.00","0","589",0
코스피200 P 202112 360.0,"105.15",0.00,"0.00","0.00","0.00","0","525",0
코스피200 P 202112 370.0,"113.95",0.00,"0.00","0.00","0.00","0","73",0
코스피200 P 202212 140.0,"3.27",0.16,"3.27","3.27","3.27","1","484",2
코스피200 P 202212 150.0,"4.43",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202212 160.0,"5.47",0.00,"0.00","0.00","0.00","0","41",0
코스피200 P 202212 170.0,"6.80",0.00,"0.00","0.00","0.00","0","210",0
코스피200 P 202212 180.0,"8.33",0.00,"0.00","0.00","0.00","0","1,534",0
코스피200 P 202212 190.0,"9.81",0.00,"0.00","0.00","0.00","0","402",0
코스피200 P 202212 200.0,"11.95",0.00,"0.00","0.00","0.00","0","1,036",0
코스피200 P 202212 210.0,"14.05",0.00,"0.00","0.00","0.00","0","4,160",0
코스피200 P 202212 220.0,"16.55",0.00,"0.00","0.00","0.00","0","2,368",0
코스피200 P 202212 230.0,"18.20",1.25,"18.20","18.20","18.20","1","2,638",2
코스피200 P 202212 240.0,"23.70",0.00,"0.00","0.00","0.00","0","3,894",0
코스피200 P 202212 250.0,"28.90",0.00,"0.00","0.00","0.00","0","2,812",0
코스피200 P 202212 260.0,"34.05",0.00,"0.00","0.00","0.00","0","2,500",0
코스피200 P 202212 270.0,"40.25",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202212 280.0,"46.50",0.00,"0.00","0.00","0.00","0","1,050",0
코스피200 P 202212 290.0,"53.15",0.00,"0.00","0.00","0.00","0","208",0
코스피200 P 202212 300.0,"60.40",0.00,"0.00","0.00","0.00","0","12",0
코스피200 P 202212 310.0,"67.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202212 320.0,"75.40",0.00,"0.00","0.00","0.00","0","11",0
코스피200 P 202212 330.0,"83.40",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202212 340.0,"91.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202212 350.0,"99.90",0.00,"0.00","0.00","0.00","0","46",0
코스피200 P 202212 360.0,"108.55",0.00,"0.00","0.00","0.00","0","21",0
코스피200 P 202212 370.0,"117.25",0.00,"0.00","0.00","0.00","0","42",0
