종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202006 337.5,"74.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 340.0,"77.05",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 342.5,"79.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 345.0,"82.05",0.00,"0.00","0.00","0.00","0","36",0
코스피200 P 202006 347.5,"84.55",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202006 350.0,"87.05",0.00,"0.00","0.00","0.00","0","15",0
코스피200 P 202006 352.5,"89.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 355.0,"92.05",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 357.5,"94.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 360.0,"97.05",0.00,"0.00","0.00","0.00","0","75",0
코스피200 P 202006 362.5,"99.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 365.0,"102.05",0.00,"0.00","0.00","0.00","0","1,033",0
코스피200 P 202006 367.5,"104.55",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202006 370.0,"107.05",0.00,"0.00","0.00","0.00","0","447",0
코스피200 P 202007 160.0,"0.06",0.01,"0.06","0.07","0.05","804","3,282",2
코스피200 P 202007 162.5,"0.06",0.03,"0.07","0.07","0.06","293","360",2
코스피200 P 202007 165.0,"0.07",0.03,"0.08","0.08","0.07","39","199",2
코스피200 P 202007 167.5,"0.08",0.02,"0.09","0.09","0.08","11","94",2
코스피200 P 202007 170.0,"0.09",0.03,"0.10","0.10","0.09","152","424",2
코스피200 P 202007 172.5,"0.10",0.03,"0.10","0.10","0.09","22","110",2
코스피200 P 202007 175.0,"0.10",0.04,"0.12","0.12","0.10","21","169",2
코스피200 P 202007 177.5,"0.12",0.06,"0.12","0.13","0.12","23","44",2
코스피200 P 202007 180.0,"0.13",0.04,"0.14","0.14","0.12","50","219",2
코스피200 P 202007 182.5,"0.15",0.04,"0.16","0.16","0.14","55","672",2
코스피200 P 202007 185.0,"0.17",0.03,"0.18","0.18","0.16","10","340",2
코스피200 P 202007 187.5,"0.18",0.05,"0.20","0.20","0.17","30","233",2
코스피200 P 202007 190.0,"0.20",0.05,"0.23","0.23","0.20","43","471",2
코스피200 P 202007 192.5,"0.23",0.05,"0.25","0.25","0.22","82","244",2
코스피200 P 202007 195.0,"0.26",0.05,"0.26","0.27","0.26","30","230",2
코스피200 P 202007 197.5,"0.30",0.05,"0.30","0.30","0.27","19","142",2
코스피200 P 202007 200.0,"0.32",0.06,"0.33","0.34","0.30","278","566",2
코스피200 P 202007 202.5,"0.36",0.07,"0.37","0.37","0.35","91","306",2
코스피200 P 202007 205.0,"0.41",0.07,"0.43","0.43","0.38","208","510",2
코스피200 P 202007 207.5,"0.44",0.09,"0.46","0.47","0.42","287","564",2
코스피200 P 202007 210.0,"0.50",0.10,"0.52","0.54","0.47","325","716",2
코스피200 P 202007 212.5,"0.57",0.10,"0.55","0.61","0.53","426","390",2
코스피200 P 202007 215.0,"0.64",0.12,"0.63","0.69","0.60","331","624",2
코스피200 P 202007 217.5,"0.71",0.14,"0.69","0.77","0.67","222","580",2
코스피200 P 202007 220.0,"0.80",0.14,"0.84","0.86","0.76","231","630",2
코스피200 P 202007 222.5,"0.89",0.19,"0.96","0.96","0.86","46","357",2
코스피200 P 202007 225.0,"1.02",0.18,"1.10","1.11","0.97","155","498",2
코스피200 P 202007 227.5,"1.18",0.20,"1.24","1.27","1.10","107","751",2
코스피200 P 202007 230.0,"1.34",0.20,"1.42","1.42","1.25","268","4,661",2
코스피200 P 202007 232.5,"1.51",0.25,"1.55","1.63","1.42","433","667",2
코스피200 P 202007 235.0,"1.72",0.29,"1.79","1.84","1.62","143","252",2
코스피200 P 202007 237.5,"1.93",0.36,"2.02","2.11","1.93","24","101",2
코스피200 P 202007 240.0,"2.25",0.32,"2.32","2.44","2.14","151","718",2
코스피200 P 202007 242.5,"2.61",0.25,"2.52","2.66","2.42","38","175",2
코스피200 P 202007 245.0,"2.96",0.34,"2.98","3.10","2.77","107","160",2
코스피200 P 202007 247.5,"3.40",0.47,"3.40","3.48","3.26","122","200",2
코스피200 P 202007 250.0,"3.91",0.59,"3.82","3.93","3.80","15","2,285",2
코스피200 P 202007 252.5,"4.46",0.49,"4.53","4.60","4.20","7","154",2
코스피200 P 202007 255.0,"5.13",0.76,"5.00","5.13","4.97","78","128",2
코스피200 P 202007 257.5,"5.90",0.75,"5.71","5.90","5.69","12","21",2
코스피200 P 202007 260.0,"7.00",0.40,"6.63","7.00","6.63","4","106",2
코스피200 P 202007 262.5,"8.40",0.00,"0.00","0.00","0.00","0","344",0
코스피200 P 202007 265.0,"9.00",0.70,"8.71","9.00","8.54","3","25",2
코스피200 P 202007 267.5,"9.90",1.20,"9.92","10.00","9.80","6","7",2
코스피200 P 202007 270.0,"12.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 272.5,"14.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 275.0,"16.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 277.5,"17.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 280.0,"19.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 282.5,"21.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 285.0,"24.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 287.5,"25.50",0.75,"25.50","25.50","25.50","1","2",2
코스피200 P 202007 290.0,"28.90",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202007 292.5,"30.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 295.0,"33.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 297.5,"35.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 300.0,"37.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 302.5,"40.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 305.0,"42.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 307.5,"45.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 310.0,"47.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 312.5,"50.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 315.0,"52.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 317.5,"55.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 320.0,"57.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 322.5,"60.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 325.0,"62.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 327.5,"65.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 330.0,"67.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 332.5,"70.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 335.0,"72.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 337.5,"75.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 340.0,"77.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 342.5,"80.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 345.0,"82.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 160.0,"0.16",0.04,"0.19","0.19","0.16","62","751",2
코스피200 P 202008 162.5,"0.21",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 165.0,"0.22",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 167.5,"0.26",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 170.0,"0.29",0.00,"0.00","0.00","0.00","0","5",0
코스피200 P 202008 172.5,"0.32",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 175.0,"0.35",0.00,"0.00","0.00","0.00","0","8",0
코스피200 P 202008 177.5,"0.38",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 180.0,"0.37",0.06,"0.37","0.37","0.36","12","26",2
코스피200 P 202008 182.5,"0.44",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 185.0,"0.48",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 187.5,"0.51",0.06,"0.45","0.51","0.45","7","14",2
코스피200 P 202008 190.0,"0.52",0.11,"0.46","0.53","0.46","10","21",2
코스피200 P 202008 192.5,"0.66",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 195.0,"0.64",0.09,"0.62","0.64","0.62","4","5",2
