종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202006 337.5,"69.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 340.0,"71.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 342.5,"74.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 345.0,"76.60",0.00,"0.00","0.00","0.00","0","36",0
코스피200 P 202006 347.5,"79.10",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202006 350.0,"81.60",0.00,"0.00","0.00","0.00","0","15",0
코스피200 P 202006 352.5,"84.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 355.0,"86.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 357.5,"89.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 360.0,"91.60",0.00,"0.00","0.00","0.00","0","75",0
코스피200 P 202006 362.5,"94.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 365.0,"96.60",0.00,"0.00","0.00","0.00","0","1,033",0
코스피200 P 202006 367.5,"99.10",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202006 370.0,"101.60",0.00,"0.00","0.00","0.00","0","440",0
코스피200 P 202007 160.0,"0.09",0.01,"0.08","0.11","0.08","1,195","5,937",1
코스피200 P 202007 162.5,"0.10",0.02,"0.09","0.12","0.09","148","415",1
코스피200 P 202007 165.0,"0.11",0.03,"0.10","0.13","0.10","47","159",1
코스피200 P 202007 167.5,"0.12",0.03,"0.12","0.13","0.12","22","216",1
코스피200 P 202007 170.0,"0.13",0.03,"0.12","0.15","0.12","27","555",1
코스피200 P 202007 172.5,"0.15",0.04,"0.12","0.15","0.12","53","170",1
코스피200 P 202007 175.0,"0.15",0.01,"0.15","0.15","0.15","1","387",1
코스피200 P 202007 177.5,"0.16",0.01,"0.17","0.18","0.16","215","447",1
코스피200 P 202007 180.0,"0.17",0.01,"0.17","0.21","0.17","52","742",1
코스피200 P 202007 182.5,"0.21",0.04,"0.18","0.23","0.18","307","1,218",1
코스피200 P 202007 185.0,"0.20",0.03,"0.22","0.24","0.20","74","493",1
코스피200 P 202007 187.5,"0.25",0.03,"0.24","0.26","0.23","32","288",1
코스피200 P 202007 190.0,"0.23",0.03,"0.25","0.30","0.23","396","961",1
코스피200 P 202007 192.5,"0.28",0.01,"0.30","0.33","0.28","31","280",1
코스피200 P 202007 195.0,"0.28",0.03,"0.31","0.35","0.28","225","400",1
코스피200 P 202007 197.5,"0.30",0.00,"0.34","0.39","0.30","183","222",3
코스피200 P 202007 200.0,"0.34",0.03,"0.37","0.41","0.33","642","1,074",1
코스피200 P 202007 202.5,"0.38",0.03,"0.39","0.46","0.38","158","470",1
코스피200 P 202007 205.0,"0.41",0.03,"0.43","0.51","0.40","441","593",1
코스피200 P 202007 207.5,"0.44",0.02,"0.47","0.55","0.43","1,023","680",1
코스피200 P 202007 210.0,"0.49",0.04,"0.51","0.61","0.47","1,111","1,234",1
코스피200 P 202007 212.5,"0.52",0.02,"0.58","0.67","0.52","853","561",1
코스피200 P 202007 215.0,"0.60",0.05,"0.67","0.73","0.58","670","722",1
코스피200 P 202007 217.5,"0.65",0.05,"0.73","0.81","0.65","197","812",1
코스피200 P 202007 220.0,"0.74",0.07,"0.77","0.91","0.72","347","1,098",1
코스피200 P 202007 222.5,"0.90",0.14,"0.87","1.00","0.85","193","549",1
코스피200 P 202007 225.0,"0.93",0.08,"0.97","1.12","0.93","545","828",1
코스피200 P 202007 227.5,"1.01",0.05,"1.10","1.25","1.00","505","977",1
코스피200 P 202007 230.0,"1.15",0.09,"1.21","1.40","1.09","996","4,979",1
코스피200 P 202007 232.5,"1.28",0.08,"1.38","1.59","1.25","226","1,230",1
코스피200 P 202007 235.0,"1.46",0.08,"1.55","1.77","1.44","146","1,354",1
코스피200 P 202007 237.5,"1.64",0.11,"1.80","1.97","1.61","222","466",1
코스피200 P 202007 240.0,"1.87",0.13,"2.00","2.24","1.80","420","887",1
코스피200 P 202007 242.5,"2.09",0.11,"2.24","2.46","2.09","328","426",1
코스피200 P 202007 245.0,"2.37",0.15,"2.55","2.87","2.31","407","680",1
코스피200 P 202007 247.5,"2.64",0.09,"2.90","3.25","2.64","174","682",1
코스피200 P 202007 250.0,"3.09",0.17,"3.05","3.67","3.02","447","1,973",1
코스피200 P 202007 252.5,"3.49",0.09,"3.86","4.20","3.49","219","757",1
코스피200 P 202007 255.0,"4.05",0.26,"4.40","4.75","4.05","687","931",1
코스피200 P 202007 257.5,"4.96",0.56,"5.02","5.39","4.67","114","428",1
코스피200 P 202007 260.0,"5.31",0.29,"5.77","6.21","5.30","103","1,144",1
코스피200 P 202007 262.5,"6.54",0.77,"6.37","7.04","6.15","167","493",1
코스피200 P 202007 265.0,"7.03",0.44,"7.58","7.66","7.03","67","1,080",1
