Date,High,Low,Open,Close,Volume,Adj_Ratio
2010-01-04,20152.15306015384,19997.136498152657,19997.136498152657,20116.720703125,875153.0,0.885808925721048
2010-01-05,20196.44681026884,20054.717358968708,20187.588719562584,20099.0078125,1780115.0,0.8858090706258264
2010-01-06,1633.4320068359375,1625.4597248069117,1629.8887703785927,1633.4320068359375,950.0,0.8858091143361917
2010-01-07,1646.7191397695208,1634.317812197292,1634.317812197292,1643.1759033203125,440.0,0.8858091123020553
2010-01-08,1647.604759479391,1643.175714427027,1644.0615234375,1644.0615234375,330.0,0.8858090104727909
2010-01-11,20183.16040071399,19988.282398161562,20090.15044495033,20063.576171875,1112589.0,0.8858091025110375
2010-01-12,20116.7201083586,19912.984061466374,20090.145841372658,20085.716796875,923576.0,0.8858088995314223
2010-01-13,20001.568189937796,19749.112612695444,20001.568189937796,19757.970703125,1748956.0,0.8858090429556154
2010-01-14,20076.862800108,19824.407212284004,19842.12339388569,19992.7109375,1229588.0,0.8858090800841826
2010-01-15,20152.152464339855,19948.41641744763,20045.855396396088,20085.716796875,1079633.0,0.8858088995314223
2010-01-18,20254.027487299118,19930.70712723508,19983.855679574375,20187.591796875,1262597.0,0.8858092056548925
2010-01-19,1678.608122326079,1674.1790771484375,1674.1790771484375,1674.1790771484375,160.0,0.8858090355282738
2010-01-20,20369.182597301293,20178.73361889643,20369.182597301293,20227.453125,1951421.0,0.8858092018830742
2010-01-21,20400.181640625,20041.428989107277,20041.428989107277,20400.181640625,1014789.0,0.8858090160931393
2010-01-22,20187.58918037525,19709.25227131853,20183.16013492102,19873.126953125,3242415.0,0.8858090908457766
2010-01-25,19877.55484479866,19602.954042575504,19642.81544934983,19797.83203125,1542935.0,0.8858090394295302
2010-01-26,19842.123315055975,19297.3507329685,19842.123315055975,19385.931640625,2425809.0,0.8858090765649989
2010-01-27,1594.4564005302923,1559.0240360740636,1594.4564005302923,1560.795654296875,270.0,0.8858091114057179
2010-01-28,1567.8822303185098,1554.5950927734375,1559.024138621795,1554.5950927734375,540.0,0.8858091696714744
2010-01-29,1555.480707546533,1536.8787173082203,1554.5948984875656,1537.7645263671875,240.0,0.8858090589672739
