Date,High,Low,Open,Close,Volume
2008-04-07,20098.35352851408,19874.74619213663,19931.744140625,19931.744140625,15858.0
2008-04-08,19905.441254171303,19703.75616657397,19708.140625,19708.140625,2431.0
2008-04-10,19738.828125,19497.682956880275,19738.828125,19738.828125,110067.0
2008-04-11,20054.513057571905,19857.212426266542,20045.744140625,20045.744140625,43156.0
2008-04-14,19756.36907165009,19602.913031368742,19616.06640625,19616.06640625,5809.0
2008-04-15,19769.522227137204,19580.990522598084,19668.6796875,19668.6796875,15341.0
2008-04-16,19918.59696221773,19756.371981455664,19852.830078125,19852.830078125,21014.0
2008-04-17,20124.660577159986,19962.435644402925,20019.43359375,20019.43359375,1186.0
2008-04-18,20019.442368646978,19848.448445655904,19949.291015625,19949.291015625,16744.0
2008-04-21,20260.577200035867,20190.42588317792,20247.423828125,20247.423828125,4777.0
2008-04-22,20387.730723505436,20159.738896059782,20168.5078125,20168.5078125,99080.0
2008-04-23,20352.65638452323,20124.664542214912,20243.044921875,20243.044921875,12991.0
2008-04-24,20335.11555397727,20168.50615530303,20256.1953125,20256.1953125,5626.0
2008-04-25,20558.7265625,20352.65700642461,20558.7265625,20558.7265625,3953.0
2008-04-28,20655.188884678173,20519.270638992537,20563.115234375,20563.115234375,3059.0
2008-04-29,20615.726438358924,20370.196731734486,20418.42578125,20418.42578125,6979.0
2008-04-30,20615.728748833953,20361.430095615673,20563.115234375,20563.115234375,9484.0
2008-05-02,21089.23972436503,20839.32565694532,20887.5546875,20887.5546875,102179.0
2008-05-06,21036.630352948854,20856.867567523488,21001.5546875,21001.5546875,1232.0
2008-05-07,21080.478775251202,20764.79772870002,20944.560546875,20944.560546875,3096.0
2008-05-08,20791.106809566194,20716.57099856606,20782.337890625,20782.337890625,258.0
2008-05-09,20839.32881152763,20431.57421875,20431.57421875,20431.57421875,7130.0
2008-05-13,20734.1015625,20405.26721756714,20734.1015625,20734.1015625,7841.0
2008-05-14,20821.794921875,20606.956439842597,20821.794921875,20821.794921875,4105.0
2008-05-15,21308.46875,20874.407349537036,21308.46875,21308.46875,9101.0
2008-05-16,21448.771424897117,21308.46875,21308.46875,21308.46875,5869.0
2008-05-19,21483.840045103094,21128.699015786082,21264.6171875,21264.6171875,2247.0
2008-05-20,21216.396547024706,20883.17767172529,21049.787109375,21049.787109375,8238.0
2008-05-21,21045.398481973432,20782.331000948765,20795.484375,20795.484375,5677.0
2008-05-22,20615.728515625,20343.892027328795,20615.728515625,20615.728515625,6325.0
2008-05-23,21492.61584224599,20497.34375,20497.34375,20497.34375,2102.0
2008-05-26,20400.883476001793,20142.200448904412,20159.73828125,20159.73828125,769.0
2008-05-27,20462.266348364115,20300.04139552729,20444.728515625,20444.728515625,17670.0
2008-05-28,20826.176526304396,20177.27671032691,20251.8125,20251.8125,1348.0
2008-05-29,20751.642578125,20624.493278575956,20751.642578125,20751.642578125,251.0
2008-05-30,20756.025390625,20650.798392446926,20756.025390625,20756.025390625,10077.0
2008-06-02,20826.17809118396,20523.650451543603,20663.953125,20663.953125,6287.0
2008-06-03,20585.03494943862,20330.736328125,20330.736328125,20330.736328125,10699.0
2008-06-04,20593.80078125,20409.653531343145,20593.80078125,20593.80078125,1088.0
2008-06-05,20576.259871052913,20435.95722543738,20549.953125,20549.953125,5688.0
2008-06-09,20247.428458224967,19646.75767026983,20229.890625,20229.890625,5422.0
2008-06-10,20431.575699240333,19773.90695355663,19839.673828125,19839.673828125,6326.0
2008-06-11,19993.129629883668,19765.13780077096,19975.591796875,19975.591796875,1870.0
2008-06-12,19817.751196256177,19488.916829061658,19528.376953125,19528.376953125,960.0
2008-06-13,19642.373396353814,19409.997103941594,19480.1484375,19480.1484375,901.0
2008-06-16,19870.362569529003,19550.29715302953,19804.595703125,19804.595703125,10570.0
2008-06-17,19673.064453125,19563.45299528499,19673.064453125,19673.064453125,3508.0
2008-06-18,19966.822265625,19677.448029891304,19966.822265625,19966.822265625,603.0
2008-06-19,19677.454171600137,19440.693359375,19440.693359375,19440.693359375,421.0
2008-06-20,19730.060188137755,19335.458984375,19335.458984375,19335.458984375,1104.0
2008-06-23,19287.23275222552,18853.171364985163,19208.3125,19208.3125,380.0
2008-06-24,19208.318783831553,19037.324848070442,19186.396484375,19186.396484375,712.0
2008-06-25,19186.393918609967,19068.0135173754,19177.625,19177.625,91.0
2008-06-26,19471.375524302,19243.38373703253,19256.537109375,19256.537109375,2127.0
2008-06-27,18914.55078125,18677.790062152293,18914.55078125,18914.55078125,321.0
2008-06-30,19642.37109375,18818.093021065848,19642.37109375,19642.37109375,455.0
2008-07-01,18861.942277454364,18581.336906520595,18734.79296875,18734.79296875,2220.0
2008-07-02,18734.79138675172,18182.349609375,18182.349609375,18182.349609375,337.0
2008-07-03,18138.502582201912,17835.97498293386,18063.966796875,18063.966796875,695.0
2008-07-04,17954.356959280067,17752.671875,17752.671875,17752.671875,722.0
2008-07-07,17910.50874565972,17498.369743923613,17757.052734375,17757.052734375,2356.0
2008-07-08,17542.21371673808,17081.84569867822,17331.759765625,17331.759765625,2462.0
2008-07-09,17691.29076141031,17213.384765625,17213.384765625,17213.384765625,2152.0
2008-07-10,17279.15234375,16967.85576511355,17279.15234375,17279.15234375,1361.0
2008-07-11,17691.287119588054,17187.07447553536,17607.982421875,17607.982421875,4932.0
2008-07-14,17713.209945747618,17366.83777106592,17476.44921875,17476.44921875,1580.0
2008-07-15,17476.453318698346,16976.625,16976.625,16976.625,536.0
2008-07-16,17103.768821619633,16722.32101657454,16954.697265625,16954.697265625,1690.0
2008-07-17,17292.30502180973,17182.693554886493,17213.384765625,17213.384765625,101568.0
2008-07-18,17147.61484505947,16836.31833419288,17002.927734375,17002.927734375,513.0
2008-07-21,17651.828125,17002.928333022854,17651.828125,17651.828125,2421.0
2008-07-22,17564.140625,17362.45553544683,17564.140625,17564.140625,1073.0
2008-07-23,17941.205078125,17739.51997705126,17941.205078125,17941.205078125,4040.0
2008-07-24,19993.129954359836,18028.89262551045,18252.5,18252.5,4564.0
2008-07-25,18081.50174818509,17932.430201279585,17967.505859375,17967.505859375,71.0
2008-07-28,18011.356417628907,17818.440233993155,17941.205078125,17941.205078125,245.0
2008-07-29,18011.357425304115,17235.30818862475,17480.837890625,17480.837890625,447.0
2008-07-30,17713.211991351418,17537.833654803384,17616.75390625,17616.75390625,332.0
2008-07-31,17888.59190905744,17625.524380983064,17862.28515625,17862.28515625,3108.0
2008-08-01,17664.985020524364,17493.991122336116,17590.44921875,17590.44921875,264.0
2008-08-04,17485.21881390593,17016.081799591004,17152.0,17152.0,1611.0
2008-08-05,17327.38018440531,17152.001842457885,17178.30859375,17178.30859375,4706.0
2008-08-06,17691.287109375,17498.370967414034,17691.287109375,17691.287109375,5040.0
2008-08-07,17638.673423761382,17441.372826180155,17577.291015625,17577.291015625,220.0
2008-08-08,17599.213410254808,17309.839198725957,17550.984375,17550.984375,1314.0
2008-08-11,17901.74189378615,17809.66827640444,17814.052734375,17814.052734375,1765.0
2008-08-12,17792.13149301689,17616.753163859503,17717.595703125,17717.595703125,1431.0
2008-08-13,17629.90668587378,17410.68377259507,17524.6796875,17524.6796875,92.0
2008-08-14,17669.365234375,17480.833545770005,17669.365234375,17669.365234375,57.0
2008-08-18,17757.05770058807,17507.143555172388,17660.599609375,17660.599609375,213.0
2008-08-19,17314.2185389317,17160.76256302321,17283.52734375,17283.52734375,1170.0
2008-08-20,17384.37675425957,17116.924804194037,17353.685546875,17353.685546875,392.0
2008-08-21,17108.15708504625,16910.85645233813,17064.3125,17064.3125,569.0
2008-08-22,16959.083598842895,16660.94045387875,16814.396484375,16814.396484375,167.0
2008-08-25,16981.0076154698,16814.39819399088,16950.31640625,16950.31640625,52005.0
2008-08-26,16950.311988188656,16801.24043940479,16831.931640625,16831.931640625,241.0
2008-08-27,16831.940723371306,16542.56638428756,16766.173828125,16766.173828125,4514.0
2008-08-28,16810.01123098436,16608.326171875,16608.326171875,16608.326171875,101.0
2008-08-29,16761.781769022986,16608.325749688483,16713.552734375,16713.552734375,217.0
2008-09-01,16546.942947766012,15915.5810546875,15915.5810546875,15915.5810546875,4606.0
2008-09-02,16222.495004877464,15876.122814232784,16012.041015625,16012.041015625,4019.0
2008-09-03,16161.110351562502,15994.500966494847,16161.110351562502,16161.110351562502,266.0
2008-09-04,16130.42013385857,15867.35266769072,16020.808689621967,16077.806640625,4450112.0
2008-09-05,15832.280077528874,15770.897656846126,15770.897656846126,15801.5888671875,4500788.0
2008-09-08,16678.47677264636,15823.507537455498,15823.507537455498,16625.86328125,5503149.0
2008-09-09,16621.482075024236,16349.645649634762,16621.482075024236,16393.490234375,2500295.0
2008-09-10,16568.865234375,16200.570796775766,16327.720066899312,16568.865234375,183.0
2008-09-11,16503.10228502517,16222.496932676175,16498.717826394717,16332.1083984375,25450472.0
2008-09-12,16713.552840088018,16332.105018186745,16354.02730680176,16687.24609375,203078.0
2008-09-16,16029.581508896303,14227.568926796635,16029.581508896303,15770.8984375,1972.0
2008-09-17,16283.879631696427,15827.895926339284,15827.895926339284,16112.8857421875,102206.0
2008-09-18,16003.272996208158,15433.29341004184,16003.272996208158,15718.283203125,5150.0
2008-09-19,16625.864003101902,16226.87834268991,16275.107378563887,16608.326171875,3502371.0
2008-09-22,16985.38974905303,16595.172999526516,16831.933723958333,16639.017578125,1403813.0
2008-09-23,16849.47348988227,16485.563445734413,16617.097196631228,16805.62890625,2539008.0
2008-09-24,17046.775390625,16805.63016261976,17046.775390625,17046.775390625,409.0
2008-09-25,17029.236349854466,16652.17292913163,16945.931640625,16945.931640625,531.0
2008-09-26,16897.705765657738,16682.86726474512,16858.245632837054,16739.865234375,1650.0
2008-09-29,16932.77194613618,16468.01953125,16770.54704660044,16468.01953125,1850434.0
2008-09-30,16261.953952926466,15345.602274263314,15345.602274263314,16218.109375,550608.0
2008-10-01,16257.5712890625,16112.884165939777,16178.651040086468,16257.5712890625,50337.0
2008-10-02,16441.720231017312,16016.427734375,16297.033092984362,16016.427734375,700018.0
2008-10-06,15959.426918938307,15279.835937499998,15279.835937499998,15279.835937499998,353.0
2008-10-07,15556.0595703125,15086.922486314914,15556.0595703125,15556.0595703125,1691.0
2008-10-08,15152.68974820144,14626.5546875,14626.5546875,14626.5546875,326.0
2008-10-09,15148.303115754437,14626.552588757397,14626.552588757397,14819.46875,2650627.0
2008-10-10,14468.713211686643,13350.676281692675,14468.713211686643,14082.880859375,114896.0
2008-10-13,14815.083984375,14082.879478488458,14082.879478488458,14815.083984375,51602.0
2008-10-14,15648.134937620698,15323.68495572551,15385.067384732707,15608.6748046875,1353358.0
2008-10-15,15323.68359375,15130.76740544528,15205.303205472104,15323.68359375,12100118.0
2008-10-16,14819.471055634169,13749.6630859375,14819.471055634169,13749.6630859375,704307.0
2008-10-17,13990.808131666128,13363.83051874596,13942.579084518422,13565.515625,3301521.0
2008-10-20,14784.395022937144,13127.069602216432,14784.395022937144,13828.5830078125,503148.0
2008-10-21,13982.037256917765,13552.3603515625,13898.732550777459,13552.3603515625,950167.0
2008-10-22,13591.820110216935,12530.78125,13591.820110216935,12530.78125,250076.0
2008-10-23,12329.097254738961,11838.037904621335,12228.25470962552,12114.2587890625,2458106.0
2008-10-24,12276.483374199359,10864.687786166432,12276.483374199359,10952.376953125,2004156.0
2008-10-27,11162.830209769454,10242.09401807598,10952.37622309666,10733.1533203125,176087.0
2008-10-28,11750.347348590893,10500.776828311637,10500.776828311637,11745.962890625,1353901.0
2008-10-29,13153.375009116102,10535.853382301997,12144.949591750534,11272.4423828125,1120509.0
2008-10-30,12960.456987404335,11403.974500757333,11403.974500757333,12890.3056640625,702979.0
2008-10-31,13372.596705937392,12451.860539299081,12977.99549166383,12885.921875,406771.0
2008-11-03,13438.364869393783,13056.9169921875,13416.442577600319,13056.9169921875,1506951.0
2008-11-04,13346.2890625,13078.83714633295,13078.83714633295,13346.2890625,504081.0
2008-11-05,14091.648286210317,13490.977528521826,13591.820064484127,13811.04296875,306287.0
2008-11-06,13184.06674838362,12714.9296875,13153.375538793103,12714.9296875,10216.0
2008-11-07,13091.992296298238,12250.176314754613,12276.483064177852,13065.685546875,600584.0
2008-11-10,13539.207359527687,12999.918983484324,13065.685858611563,13460.287109375,1102003.0
2008-11-11,13302.446760884832,12960.459006320225,13267.37109375,13267.37109375,138.0
2008-11-12,13188.448663706433,12793.84747363543,12855.229880979809,13083.2216796875,1000051.0
2008-11-13,12947.307678904614,12083.5692390996,12947.307678904614,12557.0908203125,1050484.0
2008-11-14,12789.467013128504,12513.24609375,12561.475143165295,12513.24609375,1500073.0
2008-11-17,12622.854903590425,12219.484757313829,12513.243450797872,12364.171875,800183.0
2008-11-18,12364.171268857759,11947.647768665742,12364.171268857759,11952.0322265625,351492.0
2008-11-19,11952.035422006755,11439.0537109375,11952.035422006755,11439.0537109375,59.0
2008-11-20,11399.590478848857,10921.6845703125,11399.590478848857,10921.6845703125,200430.0
2008-11-21,11403.9765625,10527.084862192427,10698.078743752403,11403.9765625,1000915.0
2008-11-24,11417.12849190408,11105.831977723901,11403.975118065482,11118.9853515625,3200209.0
2008-11-25,11750.34788838056,11140.908203125,11627.583059695986,11140.908203125,602610.0
2008-11-26,11750.347254782446,11145.292060319769,11145.292060319769,11688.96484375,203.0
2008-11-27,12276.479691449982,11969.567699163732,11969.567699163732,12140.5615234375,603642.0
2008-11-28,12868.384765625,12302.78966008305,12364.17207463799,12868.384765625,9210.0
2008-12-01,12416.785516480548,12092.335612448218,12171.255859375,12171.255859375,13249.0
2008-12-02,11873.1123046875,11873.1123046875,11873.1123046875,11873.1123046875,10.0
2008-12-03,11785.423337091319,11610.045013622697,11785.423337091319,11667.04296875,5250800.0
2008-12-04,11934.495583333333,11456.589624999999,11667.043625,11509.203125,2401063.0
2008-12-05,11724.041015625,11680.196434414735,11680.196434414735,11724.041015625,93.0
2008-12-08,12807.0009765625,12083.565454093203,12083.565454093203,12807.0009765625,512178.0
2008-12-09,12824.541572215026,12627.240932642488,12824.541572215026,12693.0078125,4203153.0
2008-12-10,13346.29134480337,12872.769838483146,12872.769838483146,13267.37109375,4100338.0
2008-12-11,13473.438023101176,13188.448282944464,13315.597551629766,13341.904296875,7950972.0
2008-12-12,13333.137865678544,12579.011028159073,13070.070364218263,12666.7001953125,203922.0
2008-12-15,13390.13671875,13135.838117018664,13245.44958328217,13390.13671875,151018.0
2008-12-16,13267.37109375,13074.454924508427,13127.068425210675,13267.37109375,450048.0
2008-12-17,13591.818270334536,13153.372519678584,13504.129120203344,13368.2109375,750480.0
2008-12-18,13758.427655583797,13368.2109375,13561.127067788619,13368.2109375,1295.0
2008-12-19,13648.816631978452,13407.671461802154,13574.280852105778,13429.59375,1074.0
2008-12-22,13775.967666144119,13328.7529296875,13775.967666144119,13328.7529296875,50113.0
2008-12-23,13359.442351815695,13043.761403561435,13359.442351815695,13122.681640625,351214.0
2008-12-24,13122.685018985387,12758.774943283486,13122.685018985387,12864.001953125,1250591.0
2008-12-26,12846.461458065689,12688.620975987067,12815.770253217068,12798.232421875,1200343.0
2008-12-29,12903.45970674549,12596.547651199387,12903.45970674549,12885.921875,330.0
2008-12-30,13271.753520220587,13043.76171875,13162.142077205883,13043.76171875,3102.0
2009-01-02,13403.287109375,12991.148088020322,13043.761580108152,13403.287109375,650517.0
2009-01-05,13745.275820048819,13420.825928283712,13420.825928283712,13640.048828125,2200076.0
2009-01-06,14030.26813880126,13797.891822752366,13797.891822752366,13898.734375,719.0
2009-01-07,14337.1787109375,14170.569294724772,14214.413877938647,14337.1787109375,1725.0
2009-01-08,14161.79849593996,13920.6533203125,14074.109341166339,13920.6533203125,4700983.0
2009-01-09,14126.72480344347,13758.43030205016,14126.72480344347,13767.19921875,390.0
2009-01-12,13705.81700023504,13407.673828125,13705.81700023504,13407.673828125,394.0
2009-01-13,13631.279630025228,13219.140586853027,13346.289866129557,13469.0546875,100116.0
2009-01-14,13705.81822085105,13534.8243275007,13596.206750754673,13661.9736328125,550492.0
2009-01-15,13254.216863150026,12920.998046875,13254.216863150026,12920.998046875,1000243.0
2009-01-16,13096.375,12920.996694007365,13065.683796451289,13096.375,900062.0
2009-01-19,13407.673506912848,13232.295174579129,13315.599882437646,13249.8330078125,1100633.0
2009-01-20,13113.914241465049,12894.69133538907,12977.996039697942,12991.1494140625,3903049.0
2009-01-21,12956.075331930053,12600.934180699482,12657.93214324266,12693.0078125,1772970.0
2009-01-22,13061.299037458923,12693.00460337146,12693.00460337146,13008.685546875,4401949.0
2009-01-23,12754.390767895067,12609.70362614858,12741.23739137266,12644.779296875,2142.0
2009-01-28,13530.436215432535,13219.139724409946,13219.139724409946,13526.0517578125,2203.0
2009-01-29,13749.659711043143,13490.97669989788,13587.43477185035,13618.1259765625,1073.0
2009-01-30,13534.822174131832,13337.52155934857,13337.52155934857,13477.82421875,200507.0
2009-02-02,13578.666475108113,13135.83621550659,13363.828032331136,13306.830078125,1201172.0
2009-02-03,13640.048545837402,13153.373718261719,13306.829744974772,13469.0546875,3601028.0
2009-02-04,13889.9619140625,13477.822892622515,13477.822892622515,13889.9619140625,1046.0
2009-02-05,14060.956533696592,13622.5107421875,13714.584358404409,13622.5107421875,1437.0
2009-02-06,14153.03125,13622.511801037794,13622.511801037794,14153.03125,1307.0
2009-02-09,14381.021536499215,13964.498046875,14381.021536499215,13964.498046875,1486.0
2009-02-10,14052.190629180437,13876.812274994098,14052.190629180437,13929.42578125,1657.0
2009-02-11,13854.888220963005,13530.438306927796,13591.820723096618,13806.6591796875,3101072.0
2009-02-12,13714.584209517274,13433.97890599774,13653.201799372377,13578.666015625,1803203.0
2009-02-13,13780.3525390625,13425.211414129613,13583.051914099786,13780.3525390625,2872.0
2009-02-16,13824.196298574472,13504.130859375,13530.437607802354,13504.130859375,698.0
2009-02-17,13416.441907728042,12977.99609375,13184.06562631968,12977.99609375,3792.0
2009-02-18,13767.20069462269,12697.392742556469,13767.20069462269,12811.388671875,452493.0
2009-02-19,12863.99815497164,12583.392878244242,12714.926601710209,12754.38671875,5102130.0
2009-02-20,12701.775484726311,12201.947246804737,12701.775484726311,12285.251953125,2501887.0
2009-02-23,12636.009765625,12092.33689576466,12188.794985578592,12636.009765625,202731.0
2009-02-24,12250.173778207118,12123.024515655934,12171.253546278798,12180.0224609375,3503782.0
2009-02-25,12504.474534574467,12184.409092420212,12184.409092420212,12364.171875,1505262.0
2009-02-26,12719.313129699884,11930.110660432052,12508.859137895128,12171.255859375,7259.0
2009-02-27,12434.32349666861,12079.182381284212,12175.6404620059,12215.1005859375,1507528.0
2009-03-02,11973.95703523449,11623.200329698511,11973.95703523449,11820.5009765625,1656889.0
2009-03-03,11930.112053448196,11531.126314064224,11583.739818158814,11912.57421875,152295.0
2009-03-04,12315.9423828125,11658.273690245082,11710.887185650476,12315.9423828125,3610.0
2009-03-05,12456.24452169705,12188.792597788737,12285.250668706489,12280.8662109375,803915.0
2009-03-06,12311.559285890422,12083.567447262822,12144.949865354869,12223.8701171875,2345.0
2009-03-09,12473.782747924202,12219.484189267048,12425.5537109375,12425.5537109375,1170.0
